1,1,0
1,2,158
1,3,281
1,4,106
1,5,167
1,6,21
1,7,14
1,8,46
1,9,299
1,10,91
1,11,98
2,1,190
2,2,0
2,3,277
2,4,178
2,5,130
2,6,87
2,7,56
2,8,33
2,9,273
2,10,77
2,11,12
3,1,193
3,2,152
3,3,0
3,4,167
3,5,158
3,6,58
3,7,22
3,8,39
3,9,438
3,10,21
3,11,43
4,1,166
4,2,176
4,3,277
4,4,0
4,5,168
4,6,70
4,7,99
4,8,24
4,9,284
4,10,23
4,11,38
5,1,112
5,2,116
5,3,297
5,4,111
5,5,0
5,6,17
5,7,44
5,8,96
5,9,204
5,10,8
5,11,93
6,1,56
6,2,49
6,3,251
6,4,57
6,5,57
6,6,0
6,7,15
6,8,47
6,9,157
6,10,79
6,11,136
7,1,36
7,2,66
7,3,287
7,4,9
7,5,71
7,6,57
7,7,0
7,8,56
7,9,229
7,10,83
7,11,97
8,1,97
8,2,52
8,3,297
8,4,22
8,5,99
8,6,5
8,7,94
8,8,0
8,9,241
8,10,85
8,11,92
9,1,13
9,2,64
9,3,374
9,4,38
9,5,42
9,6,131
9,7,59
9,8,23
9,9,0
9,10,57
9,11,195
10,1,66
10,2,95
10,3,230
10,4,47
10,5,78
10,6,59
10,7,84
10,8,80
10,9,209
10,10,0
10,11,46
11,1,51
11,2,40
11,3,215
11,4,50
11,5,48
11,6,181
11,7,28
11,8,65
11,9,125
11,10,2
11,11,0
