1,1,0
1,2,140
1,3,239
1,4,153
1,5,177
1,6,5
1,7,21
1,8,99
1,9,257
1,10,37
1,11,72
2,1,142
2,2,0
2,3,261
2,4,149
2,5,169
2,6,18
2,7,81
2,8,43
2,9,288
2,10,92
2,11,77
3,1,184
3,2,164
3,3,0
3,4,149
3,5,175
3,6,29
3,7,79
3,8,60
3,9,499
3,10,25
3,11,98
4,1,159
4,2,141
4,3,258
4,4,0
4,5,178
4,6,41
4,7,51
4,8,27
4,9,242
4,10,62
4,11,83
5,1,116
5,2,165
5,3,269
5,4,140
5,5,0
5,6,70
5,7,55
5,8,68
5,9,217
5,10,89
5,11,11
6,1,51
6,2,9
6,3,239
6,4,89
6,5,3
6,6,0
6,7,62
6,8,58
6,9,144
6,10,95
6,11,108
7,1,91
7,2,56
7,3,268
7,4,80
7,5,44
7,6,90
7,7,0
7,8,19
7,9,215
7,10,53
7,11,89
8,1,92
8,2,23
8,3,213
8,4,11
8,5,25
8,6,12
8,7,0
8,8,0
8,9,277
8,10,88
8,11,24
9,1,49
9,2,92
9,3,371
9,4,91
9,5,85
9,6,151
9,7,64
9,8,84
9,9,0
9,10,98
9,11,176
10,1,28
10,2,38
10,3,265
10,4,71
10,5,21
10,6,99
10,7,59
10,8,90
10,9,283
10,10,0
10,11,58
11,1,57
11,2,78
11,3,257
11,4,32
11,5,97
11,6,137
11,7,28
11,8,22
11,9,171
11,10,85
11,11,0
