1,1,0
1,2,149
1,3,208
1,4,111
1,5,148
1,6,41
1,7,91
1,8,12
1,9,220
1,10,2
1,11,78
2,1,166
2,2,0
2,3,243
2,4,108
2,5,118
2,6,2
2,7,42
2,8,60
2,9,293
2,10,35
2,11,60
3,1,120
3,2,134
3,3,0
3,4,167
3,5,114
3,6,27
3,7,77
3,8,81
3,9,433
3,10,3
3,11,67
4,1,157
4,2,190
4,3,292
4,4,0
4,5,166
4,6,46
4,7,23
4,8,36
4,9,294
4,10,74
4,11,32
5,1,118
5,2,136
5,3,238
5,4,147
5,5,0
5,6,58
5,7,97
5,8,99
5,9,293
5,10,81
5,11,45
6,1,53
6,2,5
6,3,249
6,4,0
6,5,69
6,6,0
6,7,22
6,8,36
6,9,197
6,10,83
6,11,178
7,1,77
7,2,50
7,3,297
7,4,54
7,5,37
7,6,9
7,7,0
7,8,76
7,9,280
7,10,89
7,11,29
8,1,56
8,2,52
8,3,211
8,4,22
8,5,40
8,6,12
8,7,95
8,8,0
8,9,289
8,10,49
8,11,48
9,1,20
9,2,40
9,3,374
9,4,13
9,5,56
9,6,158
9,7,26
9,8,79
9,9,0
9,10,95
9,11,122
10,1,91
10,2,82
10,3,233
10,4,54
10,5,38
10,6,96
10,7,18
10,8,75
10,9,204
10,10,0
10,11,80
11,1,87
11,2,47
11,3,261
11,4,35
11,5,22
11,6,121
11,7,41
11,8,6
11,9,170
11,10,40
11,11,0
