toy_network/10-a: 1240
toy_network/10-b: 862
toy_network/10-c: 849
toy_network/10-d: 517
toy_network/10-e: 761
toy_network/10-f: 990
toy_network/10-g: 683
toy_network/11-a: 1005
toy_network/11-b: 1033
toy_network/11-c: 1044
toy_network/11-d: 1142
toy_network/11-e: 1321
toy_network/11-f: 1604
toy_network/11-g: 1671

toy_network/10-a: 1463
toy_network/10-b: 1015
toy_network/10-c: 855
toy_network/10-d: 325
toy_network/10-e: 762
toy_network/10-f: 919
toy_network/10-g: 638
toy_network/11-a: 1019
toy_network/11-b: 1068
toy_network/11-c: 1055
toy_network/11-d: 1113
toy_network/11-e: 1373
toy_network/11-f: 1561
toy_network/11-g: 1675

toy_network/10-a: 1184
toy_network/10-b: 893
toy_network/10-c: 800
toy_network/10-d: 319
toy_network/10-e: 705
toy_network/10-f: 920
toy_network/10-g: 612
toy_network/11-a: 1024
toy_network/11-b: 1089
toy_network/11-c: 1060
toy_network/11-d: 1132
toy_network/11-e: 1355
toy_network/11-f: 1643
toy_network/11-g: 1674
