1,1,0
1,2,149
1,3,279
1,4,127
1,5,138
1,6,87
1,7,37
1,8,40
1,9,231
1,10,8
2,1,145
2,2,0
2,3,252
2,4,153
2,5,145
2,6,47
2,7,86
2,8,22
2,9,216
2,10,82
3,1,191
3,2,158
3,3,0
3,4,171
3,5,186
3,6,80
3,7,78
3,8,69
3,9,427
3,10,63
4,1,174
4,2,137
4,3,203
4,4,0
4,5,113
4,6,7
4,7,65
4,8,61
4,9,244
4,10,75
5,1,139
5,2,181
5,3,262
5,4,147
5,5,0
5,6,57
5,7,29
5,8,50
5,9,255
5,10,92
6,1,82
6,2,84
6,3,215
6,4,32
6,5,30
6,6,0
6,7,12
6,8,29
6,9,161
6,10,14
7,1,78
7,2,53
7,3,273
7,4,42
7,5,2
7,6,46
7,7,0
7,8,12
7,9,269
7,10,56
8,1,65
8,2,64
8,3,278
8,4,44
8,5,72
8,6,66
8,7,9
8,8,0
8,9,218
8,10,61
9,1,86
9,2,18
9,3,335
9,4,84
9,5,53
9,6,100
9,7,22
9,8,21
9,9,0
9,10,39
10,1,67
10,2,70
10,3,250
10,4,12
10,5,94
10,6,80
10,7,96
10,8,86
10,9,294
10,10,0
