1,1,0
1,2,161
1,3,265
1,4,152
1,5,130
1,6,9
1,7,56
1,8,82
1,9,207
1,10,85
1,11,26
2,1,157
2,2,0
2,3,281
2,4,142
2,5,164
2,6,26
2,7,68
2,8,32
2,9,296
2,10,23
2,11,16
3,1,199
3,2,103
3,3,0
3,4,194
3,5,137
3,6,73
3,7,53
3,8,31
3,9,409
3,10,71
3,11,22
4,1,124
4,2,182
4,3,283
4,4,0
4,5,110
4,6,22
4,7,85
4,8,29
4,9,299
4,10,16
4,11,31
5,1,154
5,2,196
5,3,222
5,4,167
5,5,0
5,6,15
5,7,3
5,8,81
5,9,284
5,10,23
5,11,82
6,1,53
6,2,43
6,3,222
6,4,12
6,5,35
6,6,0
6,7,59
6,8,2
6,9,136
6,10,24
6,11,160
7,1,64
7,2,23
7,3,207
7,4,54
7,5,28
7,6,14
7,7,0
7,8,40
7,9,248
7,10,73
7,11,44
8,1,43
8,2,14
8,3,274
8,4,23
8,5,97
8,6,9
8,7,0
8,8,0
8,9,292
8,10,43
8,11,81
9,1,25
9,2,28
9,3,385
9,4,46
9,5,28
9,6,148
9,7,56
9,8,16
9,9,0
9,10,77
9,11,192
10,1,75
10,2,81
10,3,228
10,4,47
10,5,57
10,6,36
10,7,46
10,8,21
10,9,225
10,10,0
10,11,38
11,1,74
11,2,31
11,3,289
11,4,31
11,5,46
11,6,123
11,7,96
11,8,36
11,9,107
11,10,17
11,11,0
